# R2 name-gazetteer curation record — every unambiguous-bucket candidate + keep/drop + reason.
# Producer: scripts/premium/build-name-gazetteer.js → gazetteer-split.json; curated by scratchpad/curate.js (conservative, precision-first).
skel	freq	hspell	decision	reason
פני	389	1	drop	in-hspell (possible common-word homograph)
בני	383	1	drop	in-hspell (possible common-word homograph)
בן	359	0	drop	len<3 (collision-prone)
די	238	1	drop	len<3 (collision-prone)
יהודה	141	1	drop	in-hspell (possible common-word homograph)
מעין	121	0	drop	common-word/construct/junk (hspell-missed)
מיני	102	1	drop	in-hspell (possible common-word homograph)
דוד	94	1	drop	in-hspell (possible common-word homograph)
אליהו	88	1	keep	recovered toponym/classical name
רוב	86	1	drop	in-hspell (possible common-word homograph)
מימי	62	1	drop	in-hspell (possible common-word homograph)
עמי	59	1	drop	in-hspell (possible common-word homograph)
ניצן	55	0	keep	not-in-hspell name
נח	54	1	drop	len<3 (collision-prone)
שירי	52	1	drop	in-hspell (possible common-word homograph)
אורי	48	1	drop	in-hspell (possible common-word homograph)
ליובה	48	0	keep	not-in-hspell name
גבי	47	1	drop	in-hspell (possible common-word homograph)
אבשלום	46	0	keep	not-in-hspell name
פרץ	45	0	keep	not-in-hspell name
אנגליה	45	1	keep	recovered toponym/classical name
ולמה	43	0	drop	common-word/construct/junk (hspell-missed)
מניה	43	1	drop	in-hspell (possible common-word homograph)
בר	43	1	drop	len<3 (collision-prone)
אן	41	0	drop	len<3 (collision-prone)
מאלה	37	0	drop	common-word/construct/junk (hspell-missed)
בנין	36	0	drop	common-word/construct/junk (hspell-missed)
ברכת	35	1	drop	in-hspell (possible common-word homograph)
חנה	34	1	drop	in-hspell (possible common-word homograph)
חיפה	33	1	keep	recovered toponym/classical name
עלייה	32	1	drop	in-hspell (possible common-word homograph)
קלמן	31	0	keep	not-in-hspell name
חטא	31	1	drop	in-hspell (possible common-word homograph)
עזרא	30	1	keep	recovered toponym/classical name
גרמניה	30	1	keep	recovered toponym/classical name
דמיאן	29	0	keep	not-in-hspell name
יזהר	29	1	drop	in-hspell (possible common-word homograph)
חדרה	29	1	keep	recovered toponym/classical name
אליעזר	28	1	keep	recovered toponym/classical name
אוריאל	26	1	keep	recovered toponym/classical name
אנה	26	1	drop	in-hspell (possible common-word homograph)
הי	26	0	drop	len<3 (collision-prone)
רוסיה	26	1	keep	recovered toponym/classical name
כנרת	25	1	keep	recovered toponym/classical name
נעמי	25	1	drop	in-hspell (possible common-word homograph)
הגר	25	1	drop	in-hspell (possible common-word homograph)
יפו	24	1	keep	recovered toponym/classical name
גורדון	23	0	keep	not-in-hspell name
אבני	23	1	drop	in-hspell (possible common-word homograph)
עוז	23	1	drop	in-hspell (possible common-word homograph)
מלאכי	22	1	keep	recovered toponym/classical name
ברק	22	1	drop	in-hspell (possible common-word homograph)
גלי	22	1	drop	in-hspell (possible common-word homograph)
חוה	22	1	drop	in-hspell (possible common-word homograph)
הרמן	21	0	keep	not-in-hspell name
חסן	21	0	keep	not-in-hspell name
מיכל	21	1	drop	in-hspell (possible common-word homograph)
פטר	21	1	drop	in-hspell (possible common-word homograph)
נחמן	21	0	keep	not-in-hspell name
מירי	21	1	drop	in-hspell (possible common-word homograph)
בל	21	1	drop	len<3 (collision-prone)
ניסה	21	1	drop	in-hspell (possible common-word homograph)
מחמוד	20	0	keep	not-in-hspell name
הרצל	20	1	drop	in-hspell (possible common-word homograph)
לאו	20	1	drop	in-hspell (possible common-word homograph)
לונדון	20	0	keep	not-in-hspell name
אלוהים	20	0	drop	common-word/construct/junk (hspell-missed)
רד	19	1	drop	len<3 (collision-prone)
עדי	19	1	drop	in-hspell (possible common-word homograph)
פולין	19	0	keep	not-in-hspell name
לירה	19	1	drop	in-hspell (possible common-word homograph)
יריחו	19	1	keep	recovered toponym/classical name
לוי	18	1	drop	in-hspell (possible common-word homograph)
בלה	18	1	drop	in-hspell (possible common-word homograph)
בכה	18	1	drop	in-hspell (possible common-word homograph)
איה	18	1	drop	in-hspell (possible common-word homograph)
פינה	18	1	drop	in-hspell (possible common-word homograph)
רוני	17	1	drop	in-hspell (possible common-word homograph)
דני	17	1	drop	in-hspell (possible common-word homograph)
נוגה	17	1	drop	in-hspell (possible common-word homograph)
הו	17	0	drop	len<3 (collision-prone)
רום	16	0	drop	common-word/construct/junk (hspell-missed)
מני	16	1	drop	in-hspell (possible common-word homograph)
עדן	16	0	keep	not-in-hspell name
איפה	15	1	drop	in-hspell (possible common-word homograph)
גזע	14	1	drop	in-hspell (possible common-word homograph)
פתחי	14	1	drop	in-hspell (possible common-word homograph)
אלכסנדר	14	1	keep	recovered toponym/classical name
אלפרד	14	0	keep	not-in-hspell name
זוהר	14	1	drop	in-hspell (possible common-word homograph)
גילה	14	1	drop	in-hspell (possible common-word homograph)
אדר	13	1	drop	in-hspell (possible common-word homograph)
חרמון	13	0	keep	not-in-hspell name
מג	13	1	drop	len<3 (collision-prone)
טוהר	13	1	drop	in-hspell (possible common-word homograph)
גאולה	13	1	drop	in-hspell (possible common-word homograph)
סיון	13	0	keep	not-in-hspell name
אוסטריה	13	1	keep	recovered toponym/classical name
אומה	13	1	drop	in-hspell (possible common-word homograph)
מיכאל	12	1	keep	recovered toponym/classical name
טוביה	12	1	keep	recovered toponym/classical name
שמעיה	12	1	keep	recovered toponym/classical name
אלזה	12	0	keep	not-in-hspell name
מאי	12	1	drop	in-hspell (possible common-word homograph)
מילה	12	1	drop	in-hspell (possible common-word homograph)
חולדה	12	1	drop	in-hspell (possible common-word homograph)
ליטא	12	1	keep	recovered toponym/classical name
חמד	12	1	drop	in-hspell (possible common-word homograph)
דמשק	12	1	keep	recovered toponym/classical name
אספו	12	1	drop	in-hspell (possible common-word homograph)
